epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,262.656,1.10999,0.91598,0.96368,0.71993,0.86667,0.83425,0.47074,1.58544,1.04896,1.24851,0.001406,0.001406,0.001406
62,266.844,1.14198,0.89543,0.94876,0.82643,0.79377,0.86194,0.49186,1.55277,1.09732,1.22279,0.0013961,0.0013961,0.0013961
63,271.155,1.12747,0.91038,0.97551,0.831,0.83333,0.85697,0.4935,1.48675,1.08443,1.22245,0.0013862,0.0013862,0.0013862
64,275.293,1.0741,0.836,0.95029,0.86107,0.76667,0.79984,0.35488,1.81621,1.17185,1.34316,0.0013763,0.0013763,0.0013763
65,279.514,1.1403,0.89356,0.98526,0.82543,0.78833,0.86664,0.48651,1.5128,1.05312,1.18811,0.0013664,0.0013664,0.0013664
66,283.738,1.12796,0.85599,1.00725,0.92943,0.8,0.91511,0.47699,1.58089,1.12712,1.21406,0.0013565,0.0013565,0.0013565
67,287.881,1.08109,0.86146,0.96543,0.85027,0.7574,0.82338,0.40916,1.70909,1.03748,1.30161,0.0013466,0.0013466,0.0013466
68,292.119,1.08649,0.8148,0.95646,0.74345,0.8,0.77842,0.45747,1.47872,1.08986,1.16656,0.0013367,0.0013367,0.0013367
69,296.375,1.10431,0.84218,0.95673,0.80119,0.80616,0.8171,0.46383,1.5049,1.13253,1.18363,0.0013268,0.0013268,0.0013268
70,300.626,1.04969,0.76335,0.95888,0.84904,0.83333,0.83551,0.4863,1.46913,1.09116,1.19574,0.0013169,0.0013169,0.0013169
71,304.964,1.04214,0.76976,0.94592,0.82078,0.8,0.82282,0.44262,1.64515,1.13111,1.26392,0.001307,0.001307,0.001307
72,309.332,1.09126,0.81822,0.96063,0.8212,0.76553,0.81002,0.51681,1.38042,1.0944,1.14694,0.0012971,0.0012971,0.0012971
73,313.439,1.04377,0.77454,0.95339,0.82573,0.78996,0.87328,0.51794,1.46983,1.01633,1.1965,0.0012872,0.0012872,0.0012872
74,317.653,1.03837,0.82143,0.93929,0.91629,0.76667,0.84087,0.47303,1.4784,1.04013,1.17613,0.0012773,0.0012773,0.0012773
75,321.969,1.07609,0.79445,0.94479,0.88317,0.83333,0.90544,0.50502,1.50881,0.96022,1.18991,0.0012674,0.0012674,0.0012674
76,326.077,1.00264,0.76184,0.94157,0.8889,0.86667,0.91986,0.52069,1.43269,0.87002,1.13875,0.0012575,0.0012575,0.0012575
77,330.138,1.01691,0.79312,0.94999,0.73811,0.86667,0.87165,0.52509,1.47601,0.96215,1.15549,0.0012476,0.0012476,0.0012476
78,334.388,1.1032,0.77271,0.93741,0.79968,0.83333,0.85714,0.51398,1.42364,0.96232,1.14469,0.0012377,0.0012377,0.0012377
79,338.661,1.03972,0.76015,0.92779,0.84749,0.9,0.90581,0.55911,1.38398,0.95602,1.13053,0.0012278,0.0012278,0.0012278
80,342.886,1.04908,0.76014,0.94388,0.91895,0.8,0.90282,0.53406,1.41018,0.95503,1.1537,0.0012179,0.0012179,0.0012179
81,347.11,1.04066,0.79542,0.95487,0.88279,0.83333,0.90136,0.52347,1.46554,0.95787,1.20677,0.001208,0.001208,0.001208
82,351.984,1.00809,0.73868,0.92527,0.88519,0.86667,0.91212,0.49752,1.56403,0.95504,1.25802,0.0011981,0.0011981,0.0011981
83,356.562,0.99807,0.78946,0.91316,0.81205,0.9,0.90017,0.52791,1.42946,0.88065,1.18916,0.0011882,0.0011882,0.0011882
84,361.233,1.04805,0.752,0.93677,0.76144,0.83333,0.87245,0.48703,1.51729,1.02576,1.19358,0.0011783,0.0011783,0.0011783
85,366.424,0.98577,0.72533,0.90513,0.79367,0.83333,0.87191,0.48754,1.53939,1.02713,1.21563,0.0011684,0.0011684,0.0011684
86,371.081,1.0162,0.72153,0.93028,0.86604,0.8,0.8922,0.53319,1.40421,0.93256,1.1948,0.0011585,0.0011585,0.0011585
87,375.678,1.03988,0.77324,0.9347,0.84605,0.8,0.893,0.52616,1.4101,0.96072,1.16848,0.0011486,0.0011486,0.0011486
88,380.653,1.02268,0.70858,0.93499,0.87542,0.8,0.88385,0.55965,1.33755,0.94199,1.15339,0.0011387,0.0011387,0.0011387
89,385.29,1.01384,0.78728,0.93052,0.90961,0.76667,0.85389,0.48754,1.50354,1.00111,1.20384,0.0011288,0.0011288,0.0011288
90,389.953,1.03767,0.71003,0.92801,0.79102,0.8,0.8596,0.50072,1.41588,0.99194,1.13393,0.0011189,0.0011189,0.0011189
91,394.73,1.03193,0.75494,0.9086,0.82001,0.8,0.88677,0.51414,1.33708,0.91965,1.0964,0.001109,0.001109,0.001109
92,399.314,0.9674,0.70019,0.92568,0.83554,0.84704,0.88537,0.50012,1.52391,0.95422,1.17752,0.0010991,0.0010991,0.0010991
93,404.163,0.92705,0.69597,0.91507,0.77707,0.9,0.8693,0.48625,1.58381,0.99505,1.21832,0.0010892,0.0010892,0.0010892
94,408.644,0.99549,0.70323,0.92301,0.76906,0.88828,0.88014,0.50638,1.56803,0.98058,1.24497,0.0010793,0.0010793,0.0010793
95,413.237,0.96493,0.68414,0.91226,0.77969,0.82599,0.87219,0.48052,1.58964,0.99988,1.24757,0.0010694,0.0010694,0.0010694
96,417.84,0.943,0.69748,0.89862,0.8536,0.77766,0.87623,0.52325,1.40099,0.94073,1.15522,0.0010595,0.0010595,0.0010595
97,422.434,0.96745,0.67937,0.90509,0.82411,0.83333,0.89057,0.54764,1.38481,0.92349,1.12715,0.0010496,0.0010496,0.0010496
98,427.186,0.9304,0.65894,0.91057,0.83832,0.86422,0.90107,0.49494,1.53332,0.98011,1.20455,0.0010397,0.0010397,0.0010397
99,431.882,0.91314,0.65888,0.89487,0.83745,0.86667,0.89381,0.49208,1.55647,0.94726,1.2445,0.0010298,0.0010298,0.0010298
100,436.598,0.95852,0.6731,0.91955,0.81356,0.87288,0.88004,0.49074,1.54373,0.95643,1.25682,0.0010199,0.0010199,0.0010199
101,441.23,0.97923,0.66287,0.92038,0.83715,0.85701,0.89102,0.53044,1.47268,0.93295,1.19284,0.00101,0.00101,0.00101
102,446.044,1.0184,0.65435,0.92519,0.84361,0.83333,0.89811,0.55162,1.33085,0.9771,1.11676,0.0010001,0.0010001,0.0010001
103,450.576,0.92533,0.65715,0.89427,0.86216,0.8,0.88678,0.47633,1.58925,1.02233,1.25083,0.0009902,0.0009902,0.0009902
104,455.24,0.93939,0.63047,0.89569,0.84333,0.83333,0.85229,0.46819,1.55245,1.02184,1.23409,0.0009803,0.0009803,0.0009803
105,460.002,0.9322,0.64432,0.89999,0.82299,0.7751,0.83292,0.52473,1.36421,0.99974,1.13548,0.0009704,0.0009704,0.0009704
106,464.721,0.93486,0.65269,0.9094,0.85258,0.8,0.88263,0.54675,1.49896,1.04489,1.21528,0.0009605,0.0009605,0.0009605
107,469.347,0.91365,0.64942,0.9006,0.80567,0.86667,0.89289,0.55463,1.42038,1.00174,1.19126,0.0009506,0.0009506,0.0009506
108,473.932,0.9394,0.65979,0.90084,0.85067,0.83333,0.89216,0.48,1.52894,1.04542,1.24477,0.0009407,0.0009407,0.0009407
